Alameda,8
Albany,9
Berkeley,7
Castro Valley,8
Dublin,9
Emeryville,4
Fremont,8
Hayward,3
Livermore,8
Newark,6
Oakland,4
Pleasanton,9
San Leandro,4
San Lorenzo,5
Union City,5
Antioch,4
Brentwood,7
Concord,5
Danville,10
El Cerrito,5
El Sobrante,4
Hercules,5
Lafayette,10
Martinez,8
Pinole,4
Pittsburg,4
Pleasant Hill,8
San Pablo,3
San Ramon,9
Walnut Creek,9
Corte Madera,9
Larkspur,10
Mill Valley,10
Novato,7
San Rafael,7
Sausalito,5
Tiburon,10
Carmichael,5
Citrus Heights,4
Elk Grove,7
Fair Oaks,7
Folsom,9
North Highlands,4
Orangevale,7
Rancho Cordova,5
Sacramento,5
San Francisco,6
Belmont,8
Burlingame,8
Daly City,6
Menlo Park,6
Millbrae,9
Pacifica,7
Redwood City,6
San Bruno,7
San Mateo,7
South San Francisco,6
Campbell,7
Cupertino,10
Gilroy,6
Los Altos,10
Los Gatos,9
Milpitas,7
Morgan Hill,6
Mountain View,8
Palo Alto,10
San Jose,6
Santa Clara,6
Sunnyvale,7
Benicia,8
Dixon,5
Fairfield,6
Suisun City,5
Vacaville,6
Vallejo,4
Glen Ellen,3
Petaluma,7
Rohnert Park,6
Santa Rosa,6
Sonoma,3
Alameda,8
Albany,9
Berkeley,7
Castro Valley,8
Dublin,9
Emeryville,4
Fremont,8
Hayward,3
Livermore,8
Newark,6
Oakland,4
Pleasanton,9
San Leandro,4
San Lorenzo,5
Union City,5
Antioch,4
Brentwood,7
Concord,5
Danville,10
El Cerrito,5
El Sobrante,4
Hercules,5
Lafayette,10
Martinez,8
Pinole,4
Pittsburg,4
Pleasant Hill,8
San Pablo,3
San Ramon,9
Walnut Creek,9
Corte Madera,9
Larkspur,10
Mill Valley,10
Novato,7
San Rafael,7
Sausalito,5
Tiburon,10
Carmichael,5
Citrus Heights,4
Elk Grove,7
Fair Oaks,7
Folsom,9
North Highlands,4
Orangevale,7
Rancho Cordova,5
Sacramento,5
San Francisco,6
Belmont,8
Burlingame,8
Daly City,6
Menlo Park,6
Millbrae,9
Pacifica,7
Redwood City,6
San Bruno,7
San Mateo,7
South San Francisco,6
Campbell,7
Cupertino,10
Gilroy,6
Los Altos,10
Los Gatos,9
Milpitas,7
Morgan Hill,6
Mountain View,8
Palo Alto,10
San Jose,6
Santa Clara,6
Sunnyvale,7
Benicia,8
Dixon,5
Fairfield,6
Suisun City,5
Vacaville,6
Vallejo,4
Glen Ellen,3
Petaluma,7
Rohnert Park,6
Santa Rosa,6
Sonoma,3
